an,ap,ar,as,br,ch,ct,date,dateymd,dd,dl,dn,ga,gj,hp,hr,jh,jk,ka,kl,la,ld,mh,ml,mn,mp,mz,nl,or,pb,py,rj,sk,status,tg,tn,tr,tt,un,up,ut,wb
0,1,0,0,0,0,0,14-Mar-20,2020-03-14,0,7,0,0,0,0,14,0,2,6,19,0,0,14,0,0,6,0,0,0,1,0,3,0,Confirmed,1,1,0,81,0,12,0,0
0,0,0,0,0,0,0,15-Mar-20,2020-03-15,0,0,0,0,0,0,0,0,0,0,5,0,0,18,0,0,6,0,0,0,0,0,1,0,Confirmed,2,0,0,27,0,1,0,0
0,0,0,0,0,0,0,16-Mar-20,2020-03-16,0,0,0,0,0,0,0,0,1,1,3,0,0,6,0,0,6,0,0,1,0,1,0,0,Confirmed,1,0,0,15,0,0,1,0
0,0,0,0,0,0,0,17-Mar-20,2020-03-17,0,1,0,0,0,0,1,0,0,2,0,0,0,3,0,0,6,0,0,0,0,0,0,0,Confirmed,1,0,0,11,0,2,0,1
0,0,0,0,0,0,0,18-Mar-20,2020-03-18,0,2,0,0,0,0,1,0,1,5,0,8,0,3,0,0,6,0,0,1,1,0,3,0,Confirmed,8,1,0,37,0,2,1,0
0,2,0,0,0,1,1,19-Mar-20,2020-03-19,0,4,0,0,2,0,1,0,0,1,1,0,0,4,0,0,6,0,0,0,0,0,2,0,Confirmed,3,1,0,27,0,3,1,0
0,0,0,0,0,4,0,20-Mar-20,2020-03-20,0,6,0,0,5,2,2,0,0,0,12,2,0,4,0,0,6,0,0,0,1,0,8,0,Confirmed,3,0,0,58,0,4,0,1
0,2,0,0,0,0,0,21-Mar-20,2020-03-21,0,7,0,0,7,0,2,0,0,5,12,3,0,12,0,0,6,0,0,0,10,0,7,0,Confirmed,2,3,0,78,0,4,0,2
0,1,0,0,2,1,0,22-Mar-20,2020-03-22,0,0,0,0,4,0,0,0,0,6,15,0,0,10,0,0,6,0,0,0,8,0,4,0,Confirmed,6,3,0,67,0,2,0,3
0,1,0,0,1,1,0,23-Mar-20,2020-03-23,0,3,0,0,12,1,7,0,0,7,28,0,0,23,0,0,6,0,0,0,2,0,4,0,Confirmed,6,3,0,102,0,2,1,0
0,1,0,0,0,0,0,24-Mar-20,2020-03-24,0,0,0,0,4,0,2,0,2,8,14,0,0,10,0,1,6,0,0,0,6,0,0,0,Confirmed,4,6,0,64,0,3,0,2
0,2,0,0,1,0,2,25-Mar-20,2020-03-25,0,5,0,3,4,0,1,0,5,10,9,0,0,15,0,0,6,1,0,0,2,0,6,0,Confirmed,4,8,0,90,0,3,1,0
1,1,0,0,3,0,3,26-Mar-20,2020-03-26,0,1,0,0,5,0,1,0,3,4,19,0,0,3,0,0,6,0,0,1,2,0,2,0,Confirmed,3,3,0,65,0,4,0,1
5,2,0,0,2,1,0,27-Mar-20,2020-03-27,0,4,0,0,4,0,1,0,6,9,39,0,0,31,0,0,6,0,0,0,5,0,10,0,Confirmed,15,9,0,164,0,7,0,5
3,6,0,0,2,0,1,28-Mar-20,2020-03-28,0,9,0,0,8,0,2,0,13,17,6,0,0,30,0,0,6,0,0,0,0,0,4,0,Confirmed,8,4,0,143,0,16,1,3
0,2,0,0,4,0,0,29-Mar-20,2020-03-29,0,23,0,2,8,0,0,0,5,2,20,0,0,17,0,0,6,0,0,0,0,0,5,0,Confirmed,3,8,0,110,0,7,1,3
1,2,0,0,0,5,1,30-Mar-20,2020-03-30,0,25,0,0,7,0,1,0,11,5,32,0,0,17,0,0,6,0,0,0,3,0,20,0,Confirmed,7,17,0,187,0,24,0,1
