an,ap,ar,as,br,ch,ct,date,dd,dl,dn,ga,gj,hp,hr,jh,jk,ka,kl,la,ld,mh,ml,mn,mp,mz,nl,or,pb,py,rj,sk,status,tg,tn,tr,tt,up,ut,wb
0,0,0,0,0,0,0,14-Mar-20,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,6,0,0,0,0,0,0,0,Deceased,0,0,0,2,0,0,0
0,0,0,0,0,0,0,15-Mar-20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,Deceased,0,0,0,0,0,0,0
0,0,0,0,0,0,0,16-Mar-20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,Deceased,0,0,0,0,0,0,0
0,0,0,0,0,0,0,17-Mar-20,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,6,0,0,0,0,0,0,0,Deceased,0,0,0,1,0,0,0
0,0,0,0,0,0,0,18-Mar-20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,Deceased,0,0,0,0,0,0,0
0,0,0,0,0,0,0,19-Mar-20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,1,0,0,0,Deceased,0,0,0,1,0,0,0
0,0,0,0,0,0,0,20-Mar-20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,Deceased,0,0,0,0,0,0,0
0,0,0,0,0,0,0,21-Mar-20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,Deceased,0,0,0,0,0,0,0
0,0,0,0,1,0,0,22-Mar-20,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,6,0,0,0,0,0,0,0,Deceased,0,0,0,3,0,0,0
0,0,0,0,0,0,0,23-Mar-20,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,Deceased,0,0,0,2,0,0,1
0,0,0,0,0,0,0,24-Mar-20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,Deceased,0,1,0,1,0,0,0
0,0,0,0,0,0,0,25-Mar-20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,Deceased,0,0,0,1,0,0,0
0,0,0,0,0,0,0,26-Mar-20,0,0,0,0,2,0,0,0,1,1,0,0,0,1,0,0,6,0,0,0,0,0,0,0,Deceased,0,0,0,5,0,0,0
0,0,0,0,0,0,0,27-Mar-20,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,6,0,0,0,0,0,0,0,Deceased,0,0,0,3,0,0,0
0,0,0,0,0,0,0,28-Mar-20,0,0,0,0,1,0,0,0,0,0,1,0,0,2,0,0,6,0,0,0,0,0,0,0,Deceased,1,0,0,5,0,0,0
0,0,0,0,0,0,0,29-Mar-20,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,6,0,0,0,0,0,0,0,Deceased,0,0,0,3,0,0,0
0,0,0,0,0,0,0,30-Mar-20,0,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0,6,0,0,0,2,0,0,0,Deceased,5,0,0,13,0,0,1
0,0,0,0,0,0,0,31-Mar-20,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,6,0,0,0,1,0,0,0,Deceased,0,0,0,6,0,0,1
0,0,0,0,0,0,0,01-Apr-20,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,6,0,0,0,0,0,0,0,Deceased,3,0,0,9,2,0,0
0,0,0,0,0,0,0,02-Apr-20,0,2,0,0,1,0,0,0,0,0,0,0,0,8,0,0,6,0,0,0,1,0,0,0,Deceased,0,0,0,14,0,0,0
0,1,0,0,0,0,0,03-Apr-20,0,2,0,0,2,1,0,0,0,1,0,0,0,5,0,0,6,0,0,0,0,0,0,0,Deceased,2,0,0,14,0,0,0
0,0,0,0,0,0,0,04-Apr-20,0,0,0,0,1,0,0,0,0,0,0,0,0,6,0,0,6,0,0,0,0,0,1,0,Deceased,0,2,0,13,0,0,0
0,0,0,0,0,0,0,05-Apr-20,0,1,0,0,1,0,0,0,0,0,0,0,0,13,0,0,6,0,0,0,2,0,0,0,Deceased,0,2,0,22,1,0,0
0,2,0,0,0,0,0,06-Apr-20,0,0,0,0,1,0,2,0,0,0,0,0,0,7,0,0,6,0,0,0,0,0,1,0,Deceased,0,1,0,16,0,0,0
0,1,0,0,0,0,0,07-Apr-20,0,2,0,0,2,0,0,0,1,0,0,0,0,12,0,0,6,0,0,1,1,0,0,0,Deceased,0,1,0,27,0,0,0
0,0,0,0,0,0,0,08-Apr-20,0,0,0,0,2,0,0,0,0,1,0,0,0,8,0,0,6,0,0,0,1,0,1,0,Deceased,0,1,0,20,1,0,2
0,2,0,0,0,0,0,09-Apr-20,0,3,0,0,2,0,0,1,1,1,0,0,0,25,0,0,6,0,0,0,1,0,0,0,Deceased,1,0,0,46,0,0,0
0,0,0,1,0,0,0,10-Apr-20,0,2,0,0,1,0,0,0,0,0,0,0,0,12,0,0,6,0,0,0,1,0,0,0,Deceased,0,1,0,22,0,0,0
0,0,0,0,0,0,0,11-Apr-20,0,5,0,0,3,0,0,0,0,0,1,0,0,17,0,0,6,0,0,0,1,0,6,0,Deceased,2,1,0,40,1,0,0
0,1,0,0,0,0,0,12-Apr-20,0,5,0,0,2,0,1,1,0,0,0,0,0,22,0,0,6,0,0,0,0,0,2,0,Deceased,2,1,0,42,0,0,2
0,0,0,0,0,0,0,13-Apr-20,0,4,0,0,2,0,0,0,0,2,0,0,0,11,0,0,6,0,0,0,0,0,0,0,Deceased,1,0,0,27,0,0,0
0,4,0,0,0,0,0,14-Apr-20,0,2,0,0,2,0,0,0,0,2,0,0,0,18,0,0,6,0,0,0,1,0,0,0,Deceased,1,1,0,37,3,0,0
0,3,0,0,0,0,0,15-Apr-20,0,2,0,0,5,0,0,0,0,2,0,0,0,9,1,0,6,0,0,0,0,0,0,0,Deceased,0,2,0,27,3,0,0
