date,new_daily_cases,new_daily_deaths,total_cases,total_recoveries,total_deaths,country,code
2020-01-22,1,0,1,0,0,USA,US
2020-01-23,0,0,1,0,0,USA,US
2020-01-24,1,0,2,0,0,USA,US
2020-01-25,0,0,2,0,0,USA,US
2020-01-26,3,0,5,0,0,USA,US
2020-01-27,0,0,5,0,0,USA,US
2020-01-28,0,0,5,0,0,USA,US
2020-01-29,0,0,5,0,0,USA,US
2020-01-30,0,0,5,0,0,USA,US
2020-01-31,2,0,7,0,0,USA,US
2020-02-01,1,0,8,0,0,USA,US
2020-02-02,0,0,8,0,0,USA,US
2020-02-03,3,0,11,0,0,USA,US
2020-02-04,0,0,11,0,0,USA,US
2020-02-05,0,0,11,0,0,USA,US
2020-02-06,0,0,11,0,0,USA,US
2020-02-07,0,0,11,0,0,USA,US
2020-02-08,0,0,11,0,0,USA,US
2020-02-09,0,0,11,3,0,USA,US
2020-02-10,0,0,11,3,0,USA,US
2020-02-11,1,0,12,3,0,USA,US
2020-02-12,0,0,12,3,0,USA,US
2020-02-13,1,0,13,3,0,USA,US
2020-02-14,0,0,13,3,0,USA,US
2020-02-15,0,0,13,3,0,USA,US
2020-02-16,0,0,13,3,0,USA,US
2020-02-17,0,0,13,3,0,USA,US
2020-02-18,0,0,13,3,0,USA,US
2020-02-19,0,0,13,3,0,USA,US
2020-02-20,0,0,13,3,0,USA,US
2020-02-21,2,0,15,5,0,USA,US
2020-02-22,0,0,15,5,0,USA,US
2020-02-23,0,0,15,5,0,USA,US
2020-02-24,36,0,51,5,0,USA,US
2020-02-25,0,0,51,6,0,USA,US
2020-02-26,6,0,57,6,0,USA,US
2020-02-27,1,0,58,6,0,USA,US
2020-02-28,2,0,60,7,0,USA,US
2020-02-29,8,1,68,7,1,USA,US
2020-03-01,6,0,74,7,1,USA,US
2020-03-02,24,5,98,7,6,USA,US
2020-03-03,20,1,118,7,7,USA,US
2020-03-04,31,4,149,7,11,USA,US
2020-03-05,68,1,217,7,12,USA,US
2020-03-06,45,2,262,7,14,USA,US
